SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
SANGHVIFOR, EQ, 01-Jan-2018, 41.25, 41.25, 42.40, 40.45, 40.90, 40.85, 40.91, 3909, 1.60, 124, 2859, 73.14
SANGHVIMOV, EQ, 01-Jan-2018, 191.30, 190.20, 203.55, 190.20, 195.50, 196.05, 197.70, 99215, 196.15, 1675, 55014, 55.45
SANGINITA, SM, 01-Jan-2018, 55.00, 51.50, 51.75, 51.50, 51.75, 51.75, 51.63, 12000, 6.20, 4, 12000, 100.00
SANOFI, EQ, 01-Jan-2018, 4740.10, 4700.00, 4745.00, 4674.95, 4700.00, 4699.20, 4704.55, 7319, 344.33, 478, 5191, 70.92
SANWARIA, BE, 01-Jan-2018, 26.25, 27.55, 27.55, 27.55, 27.55, 27.55, 27.55, 325940, 89.80, 457, -, -
SARDAEN, EQ, 01-Jan-2018, 501.85, 507.00, 521.80, 504.10, 510.00, 508.65, 514.41, 111685, 574.52, 3845, 53019, 47.47
SAREGAMA, EQ, 01-Jan-2018, 829.75, 835.00, 839.05, 811.10, 815.50, 814.65, 822.22, 78887, 648.63, 2926, 28410, 36.01
SARLAPOLY, EQ, 01-Jan-2018, 70.65, 71.35, 71.70, 68.75, 69.30, 69.50, 70.29, 315839, 222.00, 2286, 179343, 56.78
SASKEN, EQ, 01-Jan-2018, 733.20, 738.00, 744.90, 727.00, 730.95, 732.45, 737.34, 15026, 110.79, 527, 10115, 67.32
SASTASUNDR, BE, 01-Jan-2018, 128.00, 130.00, 130.50, 130.00, 130.00, 130.00, 130.16, 3996, 5.20, 38, -, -
SATHAISPAT, EQ, 01-Jan-2018, 34.35, 34.50, 35.45, 34.40, 35.35, 35.10, 35.14, 36857, 12.95, 265, 26515, 71.94
SATIN, EQ, 01-Jan-2018, 456.15, 460.60, 461.95, 445.05, 448.00, 449.90, 455.44, 37459, 170.60, 1414, 18620, 49.71
SBILIFE, EQ, 01-Jan-2018, 695.35, 694.00, 703.00, 694.00, 700.25, 699.50, 698.93, 174646, 1220.66, 4526, 137274, 78.60
SBIN, EQ, 01-Jan-2018, 309.90, 310.60, 312.75, 306.30, 306.75, 307.10, 309.08, 12182400, 37653.15, 75769, 5697288, 46.77
SBIN, N2, 01-Jan-2018, 11300.00, 11300.00, 11303.00, 11300.00, 11300.00, 11301.40, 11301.09, 32, 3.62, 6, 32, 100.00
SBIN, N5, 01-Jan-2018, 11636.68, 11590.00, 11650.00, 11590.00, 11650.00, 11642.56, 11634.97, 658, 76.56, 33, 657, 99.85
SBIN, N6, 01-Jan-2018, 11470.00, 10821.03, 11199.00, 10821.03, 11199.00, 11199.00, 11097.15, 28, 3.11, 6, 16, 57.14
SCAPDVR, EQ, 01-Jan-2018, 4.70, 4.70, 4.90, 4.70, 4.90, 4.90, 4.90, 11860, 0.58, 12, 11860, 100.00
SCHAEFFLER, EQ, 01-Jan-2018, 5862.95, 5803.00, 5909.00, 5803.00, 5864.95, 5841.05, 5852.73, 903, 52.85, 294, 587, 65.01
SCHAND, EQ, 01-Jan-2018, 519.70, 520.05, 527.50, 517.00, 522.00, 519.80, 524.29, 91895, 481.80, 689, 85895, 93.47
SCHNEIDER, EQ, 01-Jan-2018, 126.35, 127.10, 134.40, 126.65, 131.90, 131.55, 132.03, 551612, 728.31, 5166, 266886, 48.38
SCI, EQ, 01-Jan-2018, 94.60, 94.80, 96.40, 93.70, 94.20, 94.20, 95.05, 1004745, 954.99, 6007, 308336, 30.69
SDBL, EQ, 01-Jan-2018, 181.20, 182.80, 185.85, 177.60, 181.50, 181.55, 183.33, 109977, 201.62, 1495, 51112, 46.48
SEAMECLTD, BE, 01-Jan-2018, 183.25, 183.00, 187.00, 180.00, 180.50, 181.05, 181.93, 11981, 21.80, 80, -, -
SECURCRED, SM, 01-Jan-2018, 230.40, 242.90, 242.90, 230.00, 230.00, 231.00, 234.29, 9000, 21.09, 15, 9000, 100.00
SEINV, EQ, 01-Jan-2018, 215.95, 217.00, 218.95, 214.00, 215.50, 215.35, 216.45, 1257, 2.72, 43, 1058, 84.17
SELAN, BE, 01-Jan-2018, 231.90, 225.10, 240.40, 225.10, 235.00, 234.45, 236.95, 61811, 146.46, 492, -, -
SELMCL, EQ, 01-Jan-2018, 3.00, 3.05, 3.30, 3.00, 3.20, 3.15, 3.17, 1580279, 50.15, 3760, 1165980, 73.78
SENSEXIWIN, EQ, 01-Jan-2018, 354.02, 355.66, 355.66, 354.26, 354.26, 354.26, 355.51, 46, 0.16, 5, 41, 89.13
SEPOWER, EQ, 01-Jan-2018, 12.40, 12.90, 12.90, 11.85, 12.70, 12.65, 12.32, 29207, 3.60, 132, 23266, 79.66
SEQUENT, EQ, 01-Jan-2018, 97.60, 97.65, 99.45, 97.65, 98.25, 98.40, 98.56, 63366, 62.45, 606, 44620, 70.42
SERVALL, BZ, 01-Jan-2018, 1.60, 1.60, 1.65, 1.60, 1.65, 1.65, 1.62, 1436, 0.02, 9, -, -
SERVOTECH, SM, 01-Jan-2018, 40.50, 41.00, 41.00, 41.00, 41.00, 41.00, 41.00, 4000, 1.64, 1, 4000, 100.00
SESHAPAPER, EQ, 01-Jan-2018, 893.95, 909.95, 915.00, 886.10, 892.00, 893.25, 898.09, 5726, 51.42, 340, 3143, 54.89
SETCO, EQ, 01-Jan-2018, 63.70, 65.00, 66.40, 63.25, 63.35, 63.80, 64.84, 1725758, 1119.01, 8217, 692592, 40.13
SETF10GILT, EQ, 01-Jan-2018, 159.40, 145.40, 188.78, 145.40, 160.00, 165.74, 171.42, 559, 0.96, 41, 66, 11.81
SETFGOLD, EQ, 01-Jan-2018, 2662.70, 2666.80, 2683.90, 2663.50, 2679.90, 2681.65, 2678.87, 2396, 64.19, 348, 1721, 71.83
SETFNIF50, EQ, 01-Jan-2018, 106.55, 107.00, 107.29, 105.73, 105.80, 105.77, 106.62, 8747, 9.33, 88, 7970, 91.12
SETFNIFBK, EQ, 01-Jan-2018, 256.00, 255.00, 257.00, 255.00, 255.00, 255.00, 256.24, 1191, 3.05, 30, 1040, 87.32
SETFNN50, EQ, 01-Jan-2018, 312.10, 320.00, 320.00, 312.10, 312.10, 312.95, 313.44, 1294, 4.06, 42, 1291, 99.77
SEZAL, BZ, 01-Jan-2018, 4.10, 4.25, 4.30, 4.25, 4.30, 4.30, 4.25, 5791, 0.25, 11, -, -
SFL, EQ, 01-Jan-2018, 1737.30, 1749.90, 1749.90, 1705.00, 1710.10, 1715.55, 1724.84, 924, 15.94, 199, 588, 63.64
SGBAUG24, GB, 01-Jan-2018, 2810.00, 2800.05, 2820.00, 2800.00, 2802.26, 2802.26, 2802.18, 87, 2.44, 10, 81, 93.10
SGBDEC25, GB, 01-Jan-2018, 3100.00, 3100.00, 3100.00, 3100.00, 3100.00, 3100.00, 3100.00, 4, 0.12, 1, 4, 100.00
SGBDEC2512, GB, 01-Jan-2018, 2680.01, 2455.00, 2455.00, 2455.00, 2455.00, 2455.00, 2455.00, 1, 0.02, 1, 1, 100.00
SGBFEB24, GB, 01-Jan-2018, 2782.00, 2800.00, 2800.00, 2800.00, 2800.00, 2800.00, 2800.00, 22, 0.62, 2, 22, 100.00
SGBJUL25, GB, 01-Jan-2018, 2785.00, 2732.01, 2797.00, 2732.01, 2785.00, 2785.00, 2791.92, 79, 2.21, 8, 78, 98.73
SGBMAR24, GB, 01-Jan-2018, 2780.00, 2785.00, 2800.00, 2785.00, 2800.00, 2800.00, 2791.92, 26, 0.73, 4, 26, 100.00
SGBMAR25, GB, 01-Jan-2018, 2770.01, 2848.00, 2848.00, 2770.00, 2770.00, 2770.00, 2776.19, 36, 1.00, 6, 36, 100.00
SGBMAY25, GB, 01-Jan-2018, 2797.00, 2800.00, 2800.00, 2725.10, 2741.00, 2750.84, 2738.16, 90, 2.46, 14, 52, 57.78
SGBNOV23, GB, 01-Jan-2018, 2795.00, 2820.00, 2820.00, 2820.00, 2820.00, 2820.00, 2820.00, 1, 0.03, 1, 1, 100.00
SGBNOV24, GB, 01-Jan-2018, 2770.00, 2790.00, 2790.00, 2781.00, 2782.00, 2782.00, 2786.23, 209, 5.82, 7, 209, 100.00
SGBNOV25, GB, 01-Jan-2018, 2820.00, 2725.00, 2725.00, 2725.00, 2725.00, 2725.00, 2725.00, 1, 0.03, 1, 1, 100.00
SGBNOV25IX, GB, 01-Jan-2018, 2730.00, 2725.00, 2725.00, 2505.00, 2505.00, 2505.00, 2578.33, 6, 0.15, 2, 6, 100.00
SGBNOV25VI, GB, 01-Jan-2018, 2750.01, 2750.00, 2750.00, 2750.00, 2750.00, 2750.00, 2750.00, 5, 0.14, 1, 5, 100.00
SGBOCT25IV, GB, 01-Jan-2018, 2760.00, 2760.00, 2760.00, 2720.00, 2750.00, 2750.00, 2741.71, 21, 0.58, 10, 18, 85.71
SGBSEP24, GB, 01-Jan-2018, 2799.00, 2859.99, 2859.99, 2815.00, 2819.98, 2819.98, 2821.85, 394, 11.12, 10, 383, 97.21
SGFL, BE, 01-Jan-2018, 1.45, 1.50, 1.50, 1.50, 1.50, 1.50, 1.50, 10, 0.00, 1, -, -
SGL, EQ, 01-Jan-2018, 20.95, 20.85, 24.45, 20.85, 23.15, 23.00, 23.35, 546140, 127.52, 1838, 327349, 59.94
SHAHALLOYS, EQ, 01-Jan-2018, 17.95, 18.00, 19.00, 18.00, 18.70, 18.60, 18.53, 12358, 2.29, 55, 10138, 82.04
SHAKTIPUMP, EQ, 01-Jan-2018, 456.30, 458.15, 461.70, 450.30, 452.60, 452.90, 456.53, 53245, 243.08, 1585, 23574, 44.27
SHALBY, EQ, 01-Jan-2018, 215.25, 217.00, 236.90, 217.00, 229.40, 228.20, 230.32, 1687684, 3887.03, 21799, 418311, 24.79
SHALPAINTS, EQ, 01-Jan-2018, 201.30, 203.65, 203.70, 199.00, 199.10, 199.75, 200.50, 27565, 55.27, 608, 17936, 65.07
SHANKARA, EQ, 01-Jan-2018, 1779.20, 1780.00, 1828.00, 1777.00, 1785.95, 1783.40, 1799.69, 77598, 1396.53, 5045, 15163, 19.54
SHANTI, SM, 01-Jan-2018, 44.50, 45.70, 50.95, 44.95, 48.35, 48.90, 48.94, 162000, 79.28, 54, 114000, 70.37
